SEXE;EDAT;DATA;ESDEVENIMENT;PAUTA;RECOMPTE
Dona;50 a 59;24/12/2021;Cas;Completa;1,314
Dona;50 a 59;24/12/2021;Hospitalització;No iniciada;3
Dona;50 a 59;24/12/2021;Cas;No iniciada;109
Dona;50 a 59;24/12/2021;Hospitalització;Completa;6
Home;50 a 59;24/12/2021;Cas;No iniciada;85
Home;50 a 59;24/12/2021;Cas;Completa;1,304
Home;50 a 59;24/12/2021;Cas;Parcial;12
Home;50 a 59;24/12/2021;Hospitalització;Completa;6
Home;50 a 59;24/12/2021;Crítics;No iniciada;3
Home;50 a 59;24/12/2021;Hospitalització;No iniciada;9
Home;50 a 59;24/12/2021;Crítics;Completa;3
Dona;60 a 69;24/12/2021;Cas;Parcial;2
Dona;60 a 69;24/12/2021;Cas;Completa;519
Dona;60 a 69;24/12/2021;Hospitalització;No iniciada;5
Dona;60 a 69;24/12/2021;Hospitalització;Completa;7
Dona;60 a 69;24/12/2021;Crítics;Completa;1
Dona;60 a 69;24/12/2021;Cas;No iniciada;64
Home;60 a 69;24/12/2021;Defunció;Parcial;1
Home;60 a 69;24/12/2021;Crítics;No iniciada;3
Home;60 a 69;24/12/2021;Cas;Completa;488
Home;60 a 69;24/12/2021;Hospitalització;Completa;25
Home;60 a 69;24/12/2021;Cas;No iniciada;46
Home;60 a 69;24/12/2021;Hospitalització;Parcial;1
Home;60 a 69;24/12/2021;Hospitalització;No iniciada;5
Home;60 a 69;24/12/2021;Defunció;Completa;1
Home;60 a 69;24/12/2021;Cas;Parcial;5
Home;60 a 69;24/12/2021;Defunció;No iniciada;1
Home;60 a 69;24/12/2021;Crítics;Completa;4
Dona;70 a 79;24/12/2021;Hospitalització;No iniciada;4
Dona;70 a 79;24/12/2021;Hospitalització;Completa;9
Dona;70 a 79;24/12/2021;Defunció;Completa;4
Dona;70 a 79;24/12/2021;Crítics;No iniciada;1
Dona;70 a 79;24/12/2021;Cas;Parcial;1
Dona;70 a 79;24/12/2021;Cas;Completa;219
Dona;70 a 79;24/12/2021;Cas;No iniciada;21
Home;70 a 79;24/12/2021;Crítics;No iniciada;1
Home;70 a 79;24/12/2021;Cas;Completa;197
Home;70 a 79;24/12/2021;Crítics;Completa;4
Home;70 a 79;24/12/2021;Cas;Parcial;4
Home;70 a 79;24/12/2021;Defunció;No iniciada;2
Home;70 a 79;24/12/2021;Hospitalització;No iniciada;2
Home;70 a 79;24/12/2021;Hospitalització;Completa;9
Home;70 a 79;24/12/2021;Defunció;Completa;1
Home;70 a 79;24/12/2021;Cas;No iniciada;18
Dona;80 o més;24/12/2021;Cas;No iniciada;9
Dona;80 o més;24/12/2021;Hospitalització;No iniciada;5
Dona;80 o més;24/12/2021;Defunció;Completa;3
Dona;80 o més;24/12/2021;Cas;Completa;136
Dona;80 o més;24/12/2021;Hospitalització;Completa;14
Dona;80 o més;24/12/2021;Defunció;No iniciada;3
Home;80 o més;24/12/2021;Defunció;No iniciada;1
Home;80 o més;24/12/2021;Cas;No iniciada;5
Home;80 o més;24/12/2021;Hospitalització;No iniciada;2
Home;80 o més;24/12/2021;Hospitalització;Completa;9
Home;80 o més;24/12/2021;Defunció;Parcial;1
Home;80 o més;24/12/2021;Defunció;Completa;3
Home;80 o més;24/12/2021;Cas;Completa;81
No classificat;No classificat;24/12/2021;Crítics;No iniciada;1
No classificat;No classificat;24/12/2021;Cas;Parcial;2
No classificat;No classificat;24/12/2021;Cas;No iniciada;523
No classificat;No classificat;24/12/2021;Cas;Completa;36
Dona;0 a 9;23/12/2021;Cas;No iniciada;735
Dona;0 a 9;23/12/2021;Hospitalització;No iniciada;2
Home;0 a 9;23/12/2021;Cas;No iniciada;772
Dona;10 a 19;23/12/2021;Cas;No iniciada;404
Dona;10 a 19;23/12/2021;Cas;Completa;642
Dona;10 a 19;23/12/2021;Cas;Parcial;24
Home;10 a 19;23/12/2021;Cas;Parcial;16
Home;10 a 19;23/12/2021;Cas;Completa;522
Home;10 a 19;23/12/2021;Hospitalització;No iniciada;1
Home;10 a 19;23/12/2021;Cas;No iniciada;483
Dona;20 a 29;23/12/2021;Hospitalització;Parcial;1
Dona;20 a 29;23/12/2021;Hospitalització;Completa;4
Dona;20 a 29;23/12/2021;Crítics;Completa;1
Dona;20 a 29;23/12/2021;Cas;No iniciada;223
Dona;20 a 29;23/12/2021;Cas;Parcial;24
Dona;20 a 29;23/12/2021;Cas;Completa;1,188
Home;20 a 29;23/12/2021;Hospitalització;No iniciada;1
Home;20 a 29;23/12/2021;Cas;Completa;1,009
Home;20 a 29;23/12/2021;Hospitalització;Parcial;1
Home;20 a 29;23/12/2021;Cas;No iniciada;221
Home;20 a 29;23/12/2021;Cas;Parcial;29
Dona;30 a 39;23/12/2021;Crítics;No iniciada;1
Dona;30 a 39;23/12/2021;Hospitalització;No iniciada;3
Dona;30 a 39;23/12/2021;Cas;No iniciada;230
Dona;30 a 39;23/12/2021;Hospitalització;Completa;2
Dona;30 a 39;23/12/2021;Cas;Parcial;28
Dona;30 a 39;23/12/2021;Cas;Completa;1,143
Home;30 a 39;23/12/2021;Cas;Completa;978
Home;30 a 39;23/12/2021;Cas;No iniciada;209
Home;30 a 39;23/12/2021;Hospitalització;Parcial;1
Home;30 a 39;23/12/2021;Hospitalització;Completa;2
Home;30 a 39;23/12/2021;Hospitalització;No iniciada;3
Home;30 a 39;23/12/2021;Cas;Parcial;33
Dona;40 a 49;23/12/2021;Cas;No iniciada;167
Dona;40 a 49;23/12/2021;Cas;Completa;1,520
Dona;40 a 49;23/12/2021;Hospitalització;Completa;2
Dona;40 a 49;23/12/2021;Cas;Parcial;15
Home;40 a 49;23/12/2021;Hospitalització;No iniciada;8
Home;40 a 49;23/12/2021;Crítics;No iniciada;2
Home;40 a 49;23/12/2021;Crítics;Completa;2
Home;40 a 49;23/12/2021;Cas;No iniciada;155
Home;40 a 49;23/12/2021;Crítics;Parcial;1
Home;40 a 49;23/12/2021;Cas;Completa;1,349
Home;40 a 49;23/12/2021;Cas;Parcial;15
Home;40 a 49;23/12/2021;Hospitalització;Completa;4
Dona;50 a 59;23/12/2021;Crítics;Completa;1
Dona;50 a 59;23/12/2021;Hospitalització;No iniciada;2
Dona;50 a 59;23/12/2021;Hospitalització;Completa;3
Dona;50 a 59;23/12/2021;Cas;Parcial;3
Dona;50 a 59;23/12/2021;Cas;No iniciada;82
Dona;50 a 59;23/12/2021;Cas;Completa;1,081
Home;50 a 59;23/12/2021;Cas;No iniciada;74
Home;50 a 59;23/12/2021;Crítics;Completa;3
Home;50 a 59;23/12/2021;Hospitalització;Completa;8
Home;50 a 59;23/12/2021;Crítics;No iniciada;4
Home;50 a 59;23/12/2021;Cas;Completa;976
Home;50 a 59;23/12/2021;Hospitalització;No iniciada;10
Home;50 a 59;23/12/2021;Cas;Parcial;6
Dona;60 a 69;23/12/2021;Cas;Parcial;4
Dona;60 a 69;23/12/2021;Hospitalització;Completa;9
Dona;60 a 69;23/12/2021;Defunció;Completa;2
Dona;60 a 69;23/12/2021;Crítics;Completa;2
Dona;60 a 69;23/12/2021;Crítics;No iniciada;3
Dona;60 a 69;23/12/2021;Hospitalització;Parcial;1
Dona;60 a 69;23/12/2021;Hospitalització;No iniciada;6
Dona;60 a 69;23/12/2021;Cas;Completa;484
Dona;60 a 69;23/12/2021;Cas;No iniciada;56
Home;60 a 69;23/12/2021;Hospitalització;Completa;19
Home;60 a 69;23/12/2021;Defunció;Completa;1
Home;60 a 69;23/12/2021;Cas;No iniciada;30
Home;60 a 69;23/12/2021;Cas;Parcial;5
Home;60 a 69;23/12/2021;Cas;Completa;392
Home;60 a 69;23/12/2021;Crítics;No iniciada;3
Home;60 a 69;23/12/2021;Hospitalització;No iniciada;5
Home;60 a 69;23/12/2021;Crítics;Completa;2
Dona;70 a 79;23/12/2021;Hospitalització;No iniciada;2
Dona;70 a 79;23/12/2021;Crítics;Completa;2
Dona;70 a 79;23/12/2021;Cas;No iniciada;22
Dona;70 a 79;23/12/2021;Hospitalització;Completa;12
Dona;70 a 79;23/12/2021;Crítics;No iniciada;1
Dona;70 a 79;23/12/2021;Cas;Parcial;1
Dona;70 a 79;23/12/2021;Cas;Completa;191
Home;70 a 79;23/12/2021;Cas;No iniciada;18
Home;70 a 79;23/12/2021;Cas;Completa;169
Home;70 a 79;23/12/2021;Crítics;No iniciada;2
Home;70 a 79;23/12/2021;Cas;Parcial;1
Home;70 a 79;23/12/2021;Hospitalització;Completa;15
Home;70 a 79;23/12/2021;Defunció;Completa;5
Home;70 a 79;23/12/2021;Hospitalització;No iniciada;1
Dona;80 o més;23/12/2021;Defunció;Completa;8
Dona;80 o més;23/12/2021;Hospitalització;No iniciada;2
Dona;80 o més;23/12/2021;Defunció;Parcial;1
Dona;80 o més;23/12/2021;Cas;Completa;132
Dona;80 o més;23/12/2021;Hospitalització;Completa;13
Dona;80 o més;23/12/2021;Cas;No iniciada;14
Home;80 o més;23/12/2021;Defunció;Completa;5
Home;80 o més;23/12/2021;Defunció;No iniciada;1
Home;80 o més;23/12/2021;Hospitalització;Parcial;1
Home;80 o més;23/12/2021;Cas;No iniciada;10
Home;80 o més;23/12/2021;Hospitalització;No iniciada;2
Home;80 o més;23/12/2021;Cas;Parcial;2
Home;80 o més;23/12/2021;Hospitalització;Completa;5
Home;80 o més;23/12/2021;Cas;Completa;87
No classificat;No classificat;23/12/2021;Hospitalització;No iniciada;1
No classificat;No classificat;23/12/2021;Cas;Completa;42
No classificat;No classificat;23/12/2021;Cas;Parcial;4
No classificat;No classificat;23/12/2021;Cas;No iniciada;554
Dona;0 a 9;22/12/2021;Hospitalització;No iniciada;1
Dona;0 a 9;22/12/2021;Cas;No iniciada;705
Home;0 a 9;22/12/2021;Cas;No iniciada;680
Dona;10 a 19;22/12/2021;Cas;Parcial;15
Dona;10 a 19;22/12/2021;Cas;No iniciada;415
Dona;10 a 19;22/12/2021;Cas;Completa;622
Dona;10 a 19;22/12/2021;Hospitalització;No iniciada;1
Home;10 a 19;22/12/2021;Cas;Parcial;10
Home;10 a 19;22/12/2021;Cas;No iniciada;458
Home;10 a 19;22/12/2021;Cas;Completa;439
Dona;20 a 29;22/12/2021;Cas;No iniciada;180
Dona;20 a 29;22/12/2021;Cas;Completa;1,198
Dona;20 a 29;22/12/2021;Hospitalització;Completa;3
Dona;20 a 29;22/12/2021;Cas;Parcial;26
Home;20 a 29;22/12/2021;Cas;Completa;1,074
Home;20 a 29;22/12/2021;Hospitalització;No iniciada;1
Home;20 a 29;22/12/2021;Cas;Parcial;31
Home;20 a 29;22/12/2021;Cas;No iniciada;214
Dona;30 a 39;22/12/2021;Hospitalització;Completa;3
Dona;30 a 39;22/12/2021;Hospitalització;No iniciada;5
Dona;30 a 39;22/12/2021;Crítics;Parcial;1
Dona;30 a 39;22/12/2021;Cas;No iniciada;228
Dona;30 a 39;22/12/2021;Cas;Parcial;22
Dona;30 a 39;22/12/2021;Crítics;Completa;1
Dona;30 a 39;22/12/2021;Cas;Completa;1,119
Dona;30 a 39;22/12/2021;Crítics;No iniciada;1
Home;30 a 39;22/12/2021;Cas;Parcial;20
Home;30 a 39;22/12/2021;Hospitalització;Parcial;1
Home;30 a 39;22/12/2021;Cas;Completa;1,004
Home;30 a 39;22/12/2021;Cas;No iniciada;211
Home;30 a 39;22/12/2021;Hospitalització;No iniciada;1
Dona;40 a 49;22/12/2021;Crítics;No iniciada;2
Dona;40 a 49;22/12/2021;Cas;Completa;1,429
Dona;40 a 49;22/12/2021;Hospitalització;No iniciada;1
Dona;40 a 49;22/12/2021;Cas;Parcial;11
Dona;40 a 49;22/12/2021;Cas;No iniciada;163
Dona;40 a 49;22/12/2021;Hospitalització;Completa;2
Home;40 a 49;22/12/2021;Cas;Completa;1,252
Home;40 a 49;22/12/2021;Hospitalització;No iniciada;2
Home;40 a 49;22/12/2021;Cas;No iniciada;159
Home;40 a 49;22/12/2021;Hospitalització;Completa;5
Home;40 a 49;22/12/2021;Crítics;Completa;1
Home;40 a 49;22/12/2021;Hospitalització;Parcial;1
Home;40 a 49;22/12/2021;Cas;Parcial;17
Home;40 a 49;22/12/2021;Crítics;No iniciada;1
Dona;50 a 59;22/12/2021;Cas;No iniciada;67
Dona;50 a 59;22/12/2021;Cas;Parcial;9
Dona;50 a 59;22/12/2021;Cas;Completa;888
Dona;50 a 59;22/12/2021;Hospitalització;No iniciada;2
Dona;50 a 59;22/12/2021;Hospitalització;Completa;5
Home;50 a 59;22/12/2021;Crítics;No iniciada;5
Home;50 a 59;22/12/2021;Cas;No iniciada;64
Home;50 a 59;22/12/2021;Hospitalització;Completa;8
Home;50 a 59;22/12/2021;Cas;Completa;890
Home;50 a 59;22/12/2021;Hospitalització;No iniciada;6
Home;50 a 59;22/12/2021;Hospitalització;Parcial;1
Home;50 a 59;22/12/2021;Cas;Parcial;5
Dona;60 a 69;22/12/2021;Cas;Completa;389
Dona;60 a 69;22/12/2021;Cas;Parcial;9
Dona;60 a 69;22/12/2021;Hospitalització;Completa;9
Dona;60 a 69;22/12/2021;Crítics;Completa;2
Dona;60 a 69;22/12/2021;Defunció;Completa;3
Dona;60 a 69;22/12/2021;Hospitalització;No iniciada;4
Dona;60 a 69;22/12/2021;Cas;No iniciada;34
Dona;60 a 69;22/12/2021;Crítics;No iniciada;2
Home;60 a 69;22/12/2021;Defunció;No iniciada;1
Home;60 a 69;22/12/2021;Cas;No iniciada;27
Home;60 a 69;22/12/2021;Hospitalització;No iniciada;4
Home;60 a 69;22/12/2021;Crítics;No iniciada;5
Home;60 a 69;22/12/2021;Hospitalització;Completa;29
Home;60 a 69;22/12/2021;Cas;Parcial;3
Home;60 a 69;22/12/2021;Cas;Completa;361
Home;60 a 69;22/12/2021;Crítics;Completa;8
Dona;70 a 79;22/12/2021;Cas;Parcial;1
Dona;70 a 79;22/12/2021;Crítics;Completa;1
Dona;70 a 79;22/12/2021;Cas;No iniciada;13
Dona;70 a 79;22/12/2021;Defunció;Completa;2
Dona;70 a 79;22/12/2021;Cas;Completa;151
Dona;70 a 79;22/12/2021;Hospitalització;Completa;8
Dona;70 a 79;22/12/2021;Hospitalització;No iniciada;2
Home;70 a 79;22/12/2021;Crítics;Completa;8
Home;70 a 79;22/12/2021;Hospitalització;Completa;19
Home;70 a 79;22/12/2021;Cas;Completa;146
Home;70 a 79;22/12/2021;Defunció;No iniciada;1
Home;70 a 79;22/12/2021;Hospitalització;No iniciada;1
Home;70 a 79;22/12/2021;Crítics;No iniciada;1
Home;70 a 79;22/12/2021;Cas;No iniciada;9
Home;70 a 79;22/12/2021;Defunció;Completa;3
Dona;80 o més;22/12/2021;Cas;Parcial;1
Dona;80 o més;22/12/2021;Cas;No iniciada;11
Dona;80 o més;22/12/2021;Defunció;Completa;7
Dona;80 o més;22/12/2021;Hospitalització;Completa;10
Dona;80 o més;22/12/2021;Defunció;No iniciada;2
Dona;80 o més;22/12/2021;Hospitalització;No iniciada;2
Dona;80 o més;22/12/2021;Cas;Completa;111
Home;80 o més;22/12/2021;Hospitalització;No iniciada;5
Home;80 o més;22/12/2021;Hospitalització;Completa;21
Home;80 o més;22/12/2021;Cas;Parcial;2
Home;80 o més;22/12/2021;Cas;No iniciada;7
Home;80 o més;22/12/2021;Defunció;No iniciada;2
Home;80 o més;22/12/2021;Cas;Completa;84
Home;80 o més;22/12/2021;Defunció;Completa;7
Home;80 o més;22/12/2021;Crítics;Completa;1
Home;80 o més;22/12/2021;Crítics;No iniciada;1
No classificat;No classificat;22/12/2021;Cas;Parcial;4
No classificat;No classificat;22/12/2021;Cas;No iniciada;535
No classificat;No classificat;22/12/2021;Cas;Completa;46
No classificat;No classificat;22/12/2021;Crítics;No iniciada;1
Dona;0 a 9;21/12/2021;Cas;No iniciada;700
Dona;0 a 9;21/12/2021;Hospitalització;No iniciada;1
Home;0 a 9;21/12/2021;Hospitalització;No iniciada;2
Home;0 a 9;21/12/2021;Cas;No iniciada;641
Dona;10 a 19;21/12/2021;Cas;No iniciada;355
Dona;10 a 19;21/12/2021;Cas;Parcial;11
Dona;10 a 19;21/12/2021;Cas;Completa;569
Home;10 a 19;21/12/2021;Cas;Completa;408
Home;10 a 19;21/12/2021;Cas;No iniciada;388
Home;10 a 19;21/12/2021;Cas;Parcial;16
Dona;20 a 29;21/12/2021;Hospitalització;Completa;1
Dona;20 a 29;21/12/2021;Hospitalització;No iniciada;2
Dona;20 a 29;21/12/2021;Cas;Parcial;20
Dona;20 a 29;21/12/2021;Cas;Completa;1,080
Dona;20 a 29;21/12/2021;Cas;No iniciada;167
Home;20 a 29;21/12/2021;Hospitalització;No iniciada;1
Home;20 a 29;21/12/2021;Cas;No iniciada;189
Home;20 a 29;21/12/2021;Cas;Completa;810
Home;20 a 29;21/12/2021;Cas;Parcial;20
Dona;30 a 39;21/12/2021;Hospitalització;Completa;1
Dona;30 a 39;21/12/2021;Crítics;No iniciada;2
Dona;30 a 39;21/12/2021;Cas;No iniciada;184
Dona;30 a 39;21/12/2021;Cas;Completa;1,036
Dona;30 a 39;21/12/2021;Hospitalització;No iniciada;1
Dona;30 a 39;21/12/2021;Cas;Parcial;18
Home;30 a 39;21/12/2021;Cas;Completa;888
Home;30 a 39;21/12/2021;Hospitalització;Completa;2
Home;30 a 39;21/12/2021;Cas;Parcial;24
Home;30 a 39;21/12/2021;Hospitalització;No iniciada;3
Home;30 a 39;21/12/2021;Crítics;No iniciada;1
Home;30 a 39;21/12/2021;Cas;No iniciada;185
Dona;40 a 49;21/12/2021;Cas;Parcial;22
Dona;40 a 49;21/12/2021;Hospitalització;Completa;1
Dona;40 a 49;21/12/2021;Hospitalització;No iniciada;5
Dona;40 a 49;21/12/2021;Crítics;No iniciada;1
Dona;40 a 49;21/12/2021;Defunció;No iniciada;1
Dona;40 a 49;21/12/2021;Cas;No iniciada;139
Dona;40 a 49;21/12/2021;Cas;Completa;1,167
Home;40 a 49;21/12/2021;Crítics;Completa;1
Home;40 a 49;21/12/2021;Hospitalització;Completa;3
Home;40 a 49;21/12/2021;Hospitalització;No iniciada;9
Home;40 a 49;21/12/2021;Cas;Parcial;7
Home;40 a 49;21/12/2021;Cas;No iniciada;126
Home;40 a 49;21/12/2021;Cas;Completa;1,063
Home;40 a 49;21/12/2021;Crítics;No iniciada;3
Dona;50 a 59;21/12/2021;Cas;Parcial;7
Dona;50 a 59;21/12/2021;Cas;Completa;822
Dona;50 a 59;21/12/2021;Hospitalització;Completa;3
Dona;50 a 59;21/12/2021;Cas;No iniciada;65
Dona;50 a 59;21/12/2021;Crítics;Completa;1
Dona;50 a 59;21/12/2021;Hospitalització;No iniciada;5
Home;50 a 59;21/12/2021;Hospitalització;Completa;16
Home;50 a 59;21/12/2021;Hospitalització;No iniciada;6
Home;50 a 59;21/12/2021;Cas;No iniciada;70
Home;50 a 59;21/12/2021;Crítics;Completa;2
Home;50 a 59;21/12/2021;Cas;Completa;800
Home;50 a 59;21/12/2021;Cas;Parcial;3
Dona;60 a 69;21/12/2021;Cas;Completa;372
Dona;60 a 69;21/12/2021;Hospitalització;No iniciada;5
Dona;60 a 69;21/12/2021;Defunció;Completa;1
Dona;60 a 69;21/12/2021;Hospitalització;Completa;8
Dona;60 a 69;21/12/2021;Cas;No iniciada;30
Dona;60 a 69;21/12/2021;Cas;Parcial;9
Home;60 a 69;21/12/2021;Cas;Completa;363
Home;60 a 69;21/12/2021;Crítics;Completa;4
Home;60 a 69;21/12/2021;Defunció;Completa;3
Home;60 a 69;21/12/2021;Defunció;No iniciada;1
Home;60 a 69;21/12/2021;Crítics;No iniciada;3
Home;60 a 69;21/12/2021;Cas;No iniciada;22
Home;60 a 69;21/12/2021;Cas;Parcial;1
Home;60 a 69;21/12/2021;Hospitalització;No iniciada;7
Home;60 a 69;21/12/2021;Hospitalització;Completa;19
Dona;70 a 79;21/12/2021;Hospitalització;Completa;12
Dona;70 a 79;21/12/2021;Cas;No iniciada;17
Dona;70 a 79;21/12/2021;Cas;Completa;147
Dona;70 a 79;21/12/2021;Defunció;No iniciada;1
Dona;70 a 79;21/12/2021;Crítics;Completa;1
Dona;70 a 79;21/12/2021;Hospitalització;No iniciada;3
Home;70 a 79;21/12/2021;Crítics;Completa;4
Home;70 a 79;21/12/2021;Defunció;Completa;2
Home;70 a 79;21/12/2021;Hospitalització;No iniciada;2
Home;70 a 79;21/12/2021;Cas;No iniciada;14
Home;70 a 79;21/12/2021;Hospitalització;Completa;11
Home;70 a 79;21/12/2021;Defunció;No iniciada;1
Home;70 a 79;21/12/2021;Crítics;No iniciada;1
Home;70 a 79;21/12/2021;Cas;Completa;121
Dona;80 o més;21/12/2021;Cas;Parcial;1
Dona;80 o més;21/12/2021;Hospitalització;Completa;16
Dona;80 o més;21/12/2021;Cas;No iniciada;9
Dona;80 o més;21/12/2021;Defunció;Completa;2
Dona;80 o més;21/12/2021;Cas;Completa;88
Dona;80 o més;21/12/2021;Hospitalització;No iniciada;1
Home;80 o més;21/12/2021;Hospitalització;Completa;15
Home;80 o més;21/12/2021;Hospitalització;No iniciada;4
Home;80 o més;21/12/2021;Crítics;Completa;2
Home;80 o més;21/12/2021;Defunció;Completa;4
Home;80 o més;21/12/2021;Cas;No iniciada;3
Home;80 o més;21/12/2021;Cas;Completa;61
No classificat;No classificat;21/12/2021;Hospitalització;No iniciada;2
No classificat;No classificat;21/12/2021;Cas;Parcial;7
No classificat;No classificat;21/12/2021;Cas;No iniciada;518
No classificat;No classificat;21/12/2021;Cas;Completa;27
Dona;0 a 9;20/12/2021;Hospitalització;No iniciada;1
Dona;0 a 9;20/12/2021;Cas;No iniciada;608
Home;0 a 9;20/12/2021;Cas;No iniciada;616
Home;0 a 9;20/12/2021;Hospitalització;No iniciada;2
Dona;10 a 19;20/12/2021;Cas;No iniciada;420
Dona;10 a 19;20/12/2021;Cas;Parcial;10
Dona;10 a 19;20/12/2021;Cas;Completa;435
Home;10 a 19;20/12/2021;Hospitalització;No iniciada;1
Home;10 a 19;20/12/2021;Cas;No iniciada;444
Home;10 a 19;20/12/2021;Cas;Completa;334
Home;10 a 19;20/12/2021;Cas;Parcial;5
Dona;20 a 29;20/12/2021;Cas;No iniciada;169
Dona;20 a 29;20/12/2021;Cas;Parcial;16
Dona;20 a 29;20/12/2021;Cas;Completa;849
Dona;20 a 29;20/12/2021;Hospitalització;No iniciada;1
Home;20 a 29;20/12/2021;Cas;No iniciada;150
Home;20 a 29;20/12/2021;Defunció;Completa;1
Home;20 a 29;20/12/2021;Hospitalització;No iniciada;3
Home;20 a 29;20/12/2021;Cas;Completa;613
Home;20 a 29;20/12/2021;Cas;Parcial;15
Dona;30 a 39;20/12/2021;Cas;No iniciada;152
Dona;30 a 39;20/12/2021;Hospitalització;Parcial;1
Dona;30 a 39;20/12/2021;Hospitalització;Completa;1
Dona;30 a 39;20/12/2021;Cas;Completa;918
Dona;30 a 39;20/12/2021;Hospitalització;No iniciada;3
Dona;30 a 39;20/12/2021;Cas;Parcial;20
Home;30 a 39;20/12/2021;Cas;Completa;737
Home;30 a 39;20/12/2021;Hospitalització;No iniciada;3
Home;30 a 39;20/12/2021;Crítics;No iniciada;2
Home;30 a 39;20/12/2021;Cas;Parcial;12
Home;30 a 39;20/12/2021;Hospitalització;Completa;2
Home;30 a 39;20/12/2021;Cas;No iniciada;174
Dona;40 a 49;20/12/2021;Cas;Parcial;12
Dona;40 a 49;20/12/2021;Cas;Completa;1,255
Dona;40 a 49;20/12/2021;Hospitalització;Completa;7
Dona;40 a 49;20/12/2021;Hospitalització;No iniciada;3
Dona;40 a 49;20/12/2021;Cas;No iniciada;128
Home;40 a 49;20/12/2021;Cas;No iniciada;153
Home;40 a 49;20/12/2021;Hospitalització;Completa;1
Home;40 a 49;20/12/2021;Cas;Completa;1,130
Home;40 a 49;20/12/2021;Hospitalització;No iniciada;2
Home;40 a 49;20/12/2021;Crítics;No iniciada;1
Home;40 a 49;20/12/2021;Crítics;Completa;1
Home;40 a 49;20/12/2021;Cas;Parcial;12
Dona;50 a 59;20/12/2021;Crítics;No iniciada;1
Dona;50 a 59;20/12/2021;Cas;Parcial;2
Dona;50 a 59;20/12/2021;Cas;Completa;806
Dona;50 a 59;20/12/2021;Cas;No iniciada;68
Dona;50 a 59;20/12/2021;Hospitalització;No iniciada;2
Dona;50 a 59;20/12/2021;Hospitalització;Completa;3
Dona;50 a 59;20/12/2021;Crítics;Completa;2
Home;50 a 59;20/12/2021;Cas;Parcial;2
Home;50 a 59;20/12/2021;Cas;Completa;769
Home;50 a 59;20/12/2021;Hospitalització;Completa;7
Home;50 a 59;20/12/2021;Cas;No iniciada;61
Home;50 a 59;20/12/2021;Crítics;Completa;1
Home;50 a 59;20/12/2021;Defunció;No iniciada;1
Home;50 a 59;20/12/2021;Hospitalització;No iniciada;5
Home;50 a 59;20/12/2021;Crítics;No iniciada;3
Dona;60 a 69;20/12/2021;Crítics;Completa;6
Dona;60 a 69;20/12/2021;Hospitalització;Completa;15
Dona;60 a 69;20/12/2021;Cas;Completa;410
Dona;60 a 69;20/12/2021;Hospitalització;No iniciada;5
Dona;60 a 69;20/12/2021;Cas;Parcial;4
Dona;60 a 69;20/12/2021;Cas;No iniciada;37
Home;60 a 69;20/12/2021;Cas;Parcial;3
Home;60 a 69;20/12/2021;Crítics;Completa;9
Home;60 a 69;20/12/2021;Cas;No iniciada;32
Home;60 a 69;20/12/2021;Defunció;Completa;3
Home;60 a 69;20/12/2021;Hospitalització;No iniciada;4
Home;60 a 69;20/12/2021;Crítics;No iniciada;4
Home;60 a 69;20/12/2021;Cas;Completa;359
Home;60 a 69;20/12/2021;Hospitalització;Completa;18
Dona;70 a 79;20/12/2021;Cas;Completa;129
Dona;70 a 79;20/12/2021;Cas;Parcial;1
Dona;70 a 79;20/12/2021;Hospitalització;Completa;12
Dona;70 a 79;20/12/2021;Defunció;Completa;2
Dona;70 a 79;20/12/2021;Hospitalització;No iniciada;2
Dona;70 a 79;20/12/2021;Cas;No iniciada;10
Dona;70 a 79;20/12/2021;Crítics;No iniciada;1
Home;70 a 79;20/12/2021;Hospitalització;No iniciada;1
Home;70 a 79;20/12/2021;Cas;Parcial;1
Home;70 a 79;20/12/2021;Defunció;No iniciada;1
Home;70 a 79;20/12/2021;Hospitalització;Completa;7
Home;70 a 79;20/12/2021;Defunció;Completa;3
Home;70 a 79;20/12/2021;Defunció;Parcial;1
Home;70 a 79;20/12/2021;Cas;Completa;137
Home;70 a 79;20/12/2021;Cas;No iniciada;10
Home;70 a 79;20/12/2021;Crítics;Completa;3
Dona;80 o més;20/12/2021;Cas;No iniciada;9
Dona;80 o més;20/12/2021;Defunció;No iniciada;2
Dona;80 o més;20/12/2021;Hospitalització;No iniciada;4
Dona;80 o més;20/12/2021;Hospitalització;Completa;9
Dona;80 o més;20/12/2021;Cas;Completa;102
Dona;80 o més;20/12/2021;Defunció;Completa;4
Home;80 o més;20/12/2021;Cas;Completa;80
Home;80 o més;20/12/2021;Hospitalització;No iniciada;2
Home;80 o més;20/12/2021;Crítics;Completa;1
Home;80 o més;20/12/2021;Defunció;Completa;7
Home;80 o més;20/12/2021;Hospitalització;Completa;9
Home;80 o més;20/12/2021;Cas;No iniciada;6
Home;80 o més;20/12/2021;Defunció;No iniciada;1
No classificat;No classificat;20/12/2021;Cas;Completa;33
No classificat;No classificat;20/12/2021;Cas;No iniciada;354
No classificat;No classificat;20/12/2021;Hospitalització;No iniciada;1
No classificat;No classificat;20/12/2021;Cas;Parcial;3
Dona;0 a 9;19/12/2021;Hospitalització;No iniciada;2
Dona;0 a 9;19/12/2021;Cas;No iniciada;211
Home;0 a 9;19/12/2021;Cas;No iniciada;219
Dona;10 a 19;19/12/2021;Cas;No iniciada;115
